film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
85,"BONNIE HOLOCAUST","A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan",2006,1,NULL,4,0.99,63,29.99,G,"Deleted Scenes","2006-02-15 05:03:42"
819,"SONG HEDWIG","A Amazing Documentary of a Man And a Husband who must Confront a Squirrel in A MySQL Convention",2006,1,NULL,3,0.99,165,29.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
525,"LOATHING LEGALLY","A Boring Epistle of a Pioneer And a Mad Scientist who must Escape a Frisbee in The Gulf of Mexico",2006,1,NULL,4,0.99,140,29.99,R,"Deleted Scenes","2006-02-15 05:03:42"
224,"DESPERATE TRAINSPOTTING","A Epic Yarn of a Forensic Psychologist And a Teacher who must Face a Lumberjack in California",2006,1,NULL,7,4.99,81,29.99,G,"Deleted Scenes","2006-02-15 05:03:42"
811,"SMILE EARRING","A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin",2006,1,NULL,4,2.99,60,29.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
803,"SLACKER LIAISONS","A Fast-Paced Tale of a A Shark And a Student who must Meet a Crocodile in Ancient China",2006,1,NULL,7,4.99,179,29.99,R,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
537,"LOVER TRUMAN","A Emotional Yarn of a Robot And a Boy who must Outgun a Technical Writer in A U-Boat",2006,1,NULL,3,2.99,75,29.99,G,Trailers,"2006-02-15 05:03:42"
199,"CUPBOARD SINNERS","A Emotional Reflection of a Frisbee And a Boat who must Reach a Pastry Chef in An Abandoned Amusement Park",2006,1,NULL,4,2.99,56,29.99,R,"Behind the Scenes","2006-02-15 05:03:42"
196,"CRUELTY UNFORGIVEN","A Brilliant Tale of a Car And a Moose who must Battle a Dentist in Nigeria",2006,1,NULL,7,0.99,69,29.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
762,"SASSY PACKER","A Fast-Paced Documentary of a Dog And a Teacher who must Find a Moose in A Manhattan Penthouse",2006,1,NULL,6,0.99,154,29.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
759,"SALUTE APOLLO","A Awe-Inspiring Character Study of a Boy And a Feminist who must Sink a Crocodile in Ancient China",2006,1,NULL,4,2.99,73,29.99,R,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
644,"OSCAR GOLD","A Insightful Tale of a Database Administrator And a Dog who must Face a Madman in Soviet Georgia",2006,1,NULL,7,2.99,115,29.99,PG,"Behind the Scenes","2006-02-15 05:03:42"
691,"POSEIDON FOREVER","A Thoughtful Epistle of a Womanizer And a Monkey who must Vanquish a Dentist in A Monastery",2006,1,NULL,6,4.99,159,29.99,PG-13,Commentaries,"2006-02-15 05:03:42"
707,"QUEST MUSSOLINI","A Fateful Drama of a Husband And a Sumo Wrestler who must Battle a Pastry Chef in A Baloon Factory",2006,1,NULL,5,2.99,177,29.99,R,"Behind the Scenes","2006-02-15 05:03:42"
163,"CLYDE THEORY","A Beautiful Yarn of a Astronaut And a Frisbee who must Overcome a Explorer in A Jet Boat",2006,1,NULL,4,0.99,139,29.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
138,"CHARIOTS CONSPIRACY","A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station",2006,1,NULL,5,2.99,71,29.99,R,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
733,"RIVER OUTLAW","A Thrilling Character Study of a Squirrel And a Lumberjack who must Face a Hunter in A MySQL Convention",2006,1,NULL,4,0.99,149,29.99,PG-13,Commentaries,"2006-02-15 05:03:42"
731,"RIGHT CRANES","A Fateful Character Study of a Boat And a Cat who must Find a Database Administrator in A Jet Boat",2006,1,NULL,7,4.99,153,29.99,PG-13,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
157,"CLOCKWORK PARADISE","A Insightful Documentary of a Technical Writer And a Feminist who must Challenge a Cat in A Baloon",2006,1,NULL,7,0.99,143,29.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
723,"REIGN GENTLEMEN","A Emotional Yarn of a Composer And a Man who must Escape a Butler in The Gulf of Mexico",2006,1,NULL,3,2.99,82,29.99,PG-13,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
726,"RESERVOIR ADAPTATION","A Intrepid Drama of a Teacher And a Moose who must Kill a Car in California",2006,1,NULL,7,2.99,61,29.99,PG-13,Commentaries,"2006-02-15 05:03:42"
999,"ZOOLANDER FICTION","A Fateful Reflection of a Waitress And a Boat who must Discover a Sumo Wrestler in Ancient China",2006,1,NULL,5,2.99,101,28.99,R,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
342,"FUGITIVE MAGUIRE","A Taut Epistle of a Feminist And a Sumo Wrestler who must Battle a Crocodile in Australia",2006,1,NULL,7,4.99,83,28.99,R,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
344,"FURY MURDER","A Lacklusture Reflection of a Boat And a Forensic Psychologist who must Fight a Waitress in A Monastery",2006,1,NULL,3,0.99,178,28.99,PG-13,"Deleted Scenes","2006-02-15 05:03:42"
320,"FLAMINGOS CONNECTICUT","A Fast-Paced Reflection of a Composer And a Composer who must Meet a Cat in The Sahara Desert",2006,1,NULL,4,4.99,80,28.99,PG-13,Trailers,"2006-02-15 05:03:42"
304,"FARGO GANDHI","A Thrilling Reflection of a Pastry Chef And a Crocodile who must Reach a Teacher in The Outback",2006,1,NULL,3,2.99,130,28.99,G,"Deleted Scenes","2006-02-15 05:03:42"
395,"HANDICAP BOONDOCK","A Beautiful Display of a Pioneer And a Squirrel who must Vanquish a Sumo Wrestler in Soviet Georgia",2006,1,NULL,4,0.99,108,28.99,R,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
408,"HEAD STRANGER","A Thoughtful Saga of a Hunter And a Crocodile who must Confront a Dog in The Gulf of Mexico",2006,1,NULL,4,4.99,69,28.99,R,"Trailers,Commentaries","2006-02-15 05:03:42"
435,"HOTEL HAPPINESS","A Thrilling Yarn of a Pastry Chef And a A Shark who must Challenge a Mad Scientist in The Outback",2006,1,NULL,6,4.99,181,28.99,PG-13,"Behind the Scenes","2006-02-15 05:03:42"
439,"HUNCHBACK IMPOSSIBLE","A Touching Yarn of a Frisbee And a Dentist who must Fight a Composer in Ancient Japan",2006,1,NULL,4,4.99,151,28.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
447,"ICE CROSSING","A Fast-Paced Tale of a Butler And a Moose who must Overcome a Pioneer in A Manhattan Penthouse",2006,1,NULL,5,2.99,131,28.99,R,"Deleted Scenes","2006-02-15 05:03:42"
265,"DYING MAKER","A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California",2006,1,NULL,5,4.99,168,28.99,PG,"Behind the Scenes","2006-02-15 05:03:42"
245,"DOUBLE WRATH","A Thoughtful Yarn of a Womanizer And a Dog who must Challenge a Madman in The Gulf of Mexico",2006,1,NULL,4,0.99,177,28.99,R,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
532,"LOSER HUSTLER","A Stunning Drama of a Robot And a Feminist who must Outgun a Butler in Nigeria",2006,1,NULL,5,4.99,80,28.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
542,"LUST LOCK","A Fanciful Panorama of a Hunter And a Dentist who must Meet a Secret Agent in The Sahara Desert",2006,1,NULL,3,2.99,52,28.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
549,"MAGNOLIA FORRESTER","A Thoughtful Documentary of a Composer And a Explorer who must Conquer a Dentist in New Orleans",2006,1,NULL,4,0.99,171,28.99,PG-13,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
592,"MONSTER SPARTACUS","A Fast-Paced Story of a Waitress And a Cat who must Fight a Girl in Australia",2006,1,NULL,6,2.99,107,28.99,PG,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
170,"COMMAND DARLING","A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan",2006,1,NULL,5,4.99,120,28.99,PG-13,"Behind the Scenes","2006-02-15 05:03:42"
729,"RIDER CADDYSHACK","A Taut Reflection of a Monkey And a Womanizer who must Chase a Moose in Nigeria",2006,1,NULL,5,2.99,177,28.99,PG,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
7,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,1,NULL,6,4.99,62,28.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
730,"RIDGEMONT SUBMARINE","A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan",2006,1,NULL,3,0.99,46,28.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
737,"ROCK INSTINCT","A Astounding Character Study of a Robot And a Moose who must Overcome a Astronaut in Ancient India",2006,1,NULL,4,0.99,102,28.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
965,"WATERSHIP FRONTIER","A Emotional Yarn of a Boat And a Crocodile who must Meet a Moose in Soviet Georgia",2006,1,NULL,6,0.99,112,28.99,G,Commentaries,"2006-02-15 05:03:42"
794,"SIDE ARK","A Stunning Panorama of a Crocodile And a Womanizer who must Meet a Feminist in The Canadian Rockies",2006,1,NULL,5,0.99,52,28.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
951,"VOYAGE LEGALLY","A Epic Tale of a Squirrel And a Hunter who must Conquer a Boy in An Abandoned Mine Shaft",2006,1,NULL,6,0.99,78,28.99,PG-13,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
37,"ARIZONA BANG","A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery",2006,1,NULL,3,2.99,121,28.99,PG,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
757,"SAGEBRUSH CLUELESS","A Insightful Story of a Lumberjack And a Hunter who must Kill a Boy in Ancient Japan",2006,1,NULL,4,2.99,106,28.99,G,Trailers,"2006-02-15 05:03:42"
855,"STREAK RIDGEMONT","A Astounding Character Study of a Hunter And a Waitress who must Sink a Man in New Orleans",2006,1,NULL,7,0.99,132,28.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
909,"TREASURE COMMAND","A Emotional Saga of a Car And a Madman who must Discover a Pioneer in California",2006,1,NULL,3,0.99,102,28.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
887,"THIEF PELICAN","A Touching Documentary of a Madman And a Mad Scientist who must Outrace a Feminist in An Abandoned Mine Shaft",2006,1,NULL,5,4.99,135,28.99,PG-13,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
61,"BEAUTY GREASE","A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft",2006,1,NULL,5,4.99,175,28.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
889,"TIES HUNGER","A Insightful Saga of a Astronaut And a Explorer who must Pursue a Mad Scientist in A U-Boat",2006,1,NULL,3,4.99,111,28.99,R,"Deleted Scenes","2006-02-15 05:03:42"
764,"SATURDAY LAMBS","A Thoughtful Reflection of a Mad Scientist And a Moose who must Kill a Husband in A Baloon",2006,1,NULL,3,4.99,150,28.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
530,"LORD ARIZONA","A Action-Packed Display of a Frisbee And a Pastry Chef who must Pursue a Crocodile in A Jet Boat",2006,1,NULL,5,2.99,108,27.99,PG-13,Trailers,"2006-02-15 05:03:42"
234,"DISTURBING SCARFACE","A Lacklusture Display of a Crocodile And a Butler who must Overcome a Monkey in A U-Boat",2006,1,NULL,6,2.99,94,27.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
93,"BRANNIGAN SUNRISE","A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin",2006,1,NULL,4,4.99,121,27.99,PG,Trailers,"2006-02-15 05:03:42"
231,"DINOSAUR SECRETARY","A Action-Packed Drama of a Feminist And a Girl who must Reach a Robot in The Canadian Rockies",2006,1,NULL,7,2.99,63,27.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
519,"LIBERTY MAGNIFICENT","A Boring Drama of a Student And a Cat who must Sink a Technical Writer in A Baloon",2006,1,NULL,3,2.99,138,27.99,G,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
850,"STORY SIDE","A Lacklusture Saga of a Boy And a Cat who must Sink a Dentist in An Abandoned Mine Shaft",2006,1,NULL,7,0.99,163,27.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
868,"SUPERFLY TRIP","A Beautiful Saga of a Lumberjack And a Teacher who must Build a Technical Writer in An Abandoned Fun House",2006,1,NULL,5,0.99,114,27.99,PG,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
872,"SWEET BROTHERHOOD","A Unbelieveable Epistle of a Sumo Wrestler And a Hunter who must Chase a Forensic Psychologist in A Baloon",2006,1,NULL,3,2.99,185,27.99,R,"Deleted Scenes","2006-02-15 05:03:42"
469,"IRON MOON","A Fast-Paced Documentary of a Mad Cow And a Boy who must Pursue a Dentist in A Baloon",2006,1,NULL,7,4.99,46,27.99,PG,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
266,"DYNAMITE TARZAN","A Intrepid Documentary of a Forensic Psychologist And a Mad Scientist who must Face a Explorer in A U-Boat",2006,1,NULL,4,0.99,141,27.99,PG-13,"Deleted Scenes","2006-02-15 05:03:42"
942,"VIETNAM SMOOCHY","A Lacklusture Display of a Butler And a Man who must Sink a Explorer in Soviet Georgia",2006,1,NULL,7,0.99,174,27.99,PG-13,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
18,"ALTER VICTORY","A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies",2006,1,NULL,6,0.99,57,27.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
349,"GANGS PRIDE","A Taut Character Study of a Woman And a A Shark who must Confront a Frisbee in Berlin",2006,1,NULL,4,2.99,185,27.99,PG-13,"Behind the Scenes","2006-02-15 05:03:42"
30,"ANYTHING SAVANNAH","A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House",2006,1,NULL,4,2.99,82,27.99,R,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
303,"FANTASY TROOPERS","A Touching Saga of a Teacher And a Monkey who must Overcome a Secret Agent in A MySQL Convention",2006,1,NULL,6,0.99,58,27.99,PG-13,"Behind the Scenes","2006-02-15 05:03:42"
387,"GUN BONNIE","A Boring Display of a Sumo Wrestler And a Husband who must Build a Waitress in The Gulf of Mexico",2006,1,NULL,7,0.99,100,27.99,G,"Behind the Scenes","2006-02-15 05:03:42"
943,"VILLAIN DESPERATE","A Boring Yarn of a Pioneer And a Feminist who must Redeem a Cat in An Abandoned Amusement Park",2006,1,NULL,4,4.99,76,27.99,PG-13,"Trailers,Commentaries","2006-02-15 05:03:42"
418,"HOBBIT ALIEN","A Emotional Drama of a Husband And a Girl who must Outgun a Composer in The First Manned Space Station",2006,1,NULL,5,0.99,157,27.99,PG-13,Commentaries,"2006-02-15 05:03:42"
906,"TRAMP OTHERS","A Brilliant Display of a Composer And a Cat who must Succumb a A Shark in Ancient India",2006,1,NULL,4,0.99,171,27.99,PG,"Deleted Scenes","2006-02-15 05:03:42"
420,"HOLES BRANNIGAN","A Fast-Paced Reflection of a Technical Writer And a Student who must Fight a Boy in The Canadian Rockies",2006,1,NULL,7,4.99,128,27.99,PG,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
897,"TORQUE BOUND","A Emotional Display of a Crocodile And a Husband who must Reach a Man in Ancient Japan",2006,1,NULL,3,4.99,179,27.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
55,"BARBARELLA STREETCAR","A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery",2006,1,NULL,6,2.99,65,27.99,G,"Behind the Scenes","2006-02-15 05:03:42"
925,"UNITED PILOT","A Fast-Paced Reflection of a Cat And a Mad Cow who must Fight a Car in The Sahara Desert",2006,1,NULL,3,0.99,164,27.99,R,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
