film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
285,"ENGLISH BULWORTH","A Intrepid Epistle of a Pastry Chef And a Pastry Chef who must Pursue a Crocodile in Ancient China",2006,1,NULL,3,0.99,51,18.99,PG-13,"Deleted Scenes","2006-02-15 05:03:42"
373,"GRADUATE LORD","A Lacklusture Epistle of a Girl And a A Shark who must Meet a Mad Scientist in Ancient China",2006,1,NULL,7,2.99,156,14.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
455,"IMPOSSIBLE PREJUDICE","A Awe-Inspiring Yarn of a Monkey And a Hunter who must Chase a Teacher in Ancient China",2006,1,NULL,7,4.99,103,11.99,NC-17,"Deleted Scenes","2006-02-15 05:03:42"
512,"LEAGUE HELLFIGHTERS","A Thoughtful Saga of a A Shark And a Monkey who must Outgun a Student in Ancient China",2006,1,NULL,5,4.99,110,25.99,PG-13,Trailers,"2006-02-15 05:03:42"
514,"LEBOWSKI SOLDIERS","A Beautiful Epistle of a Secret Agent And a Pioneer who must Chase a Astronaut in Ancient China",2006,1,NULL,6,2.99,69,17.99,PG-13,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
524,"LION UNCUT","A Intrepid Display of a Pastry Chef And a Cat who must Kill a A Shark in Ancient China",2006,1,NULL,6,0.99,50,13.99,PG,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
599,"MOTHER OLEANDER","A Boring Tale of a Husband And a Boy who must Fight a Squirrel in Ancient China",2006,1,NULL,3,0.99,103,20.99,R,"Trailers,Commentaries","2006-02-15 05:03:42"
612,"MUSSOLINI SPOILERS","A Thrilling Display of a Boat And a Monkey who must Meet a Composer in Ancient China",2006,1,NULL,6,2.99,180,10.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
638,"OPERATION OPERATION","A Intrepid Character Study of a Man And a Frisbee who must Overcome a Madman in Ancient China",2006,1,NULL,7,2.99,156,23.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
662,"PATHS CONTROL","A Astounding Documentary of a Butler And a Cat who must Find a Frisbee in Ancient China",2006,1,NULL,3,4.99,118,9.99,PG,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
690,"POND SEATTLE","A Stunning Drama of a Teacher And a Boat who must Battle a Feminist in Ancient China",2006,1,NULL,7,2.99,185,25.99,PG-13,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
700,"PRIX UNDEFEATED","A Stunning Saga of a Mad Scientist And a Boat who must Overcome a Dentist in Ancient China",2006,1,NULL,4,2.99,115,13.99,R,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
720,"REDEMPTION COMFORTS","A Emotional Documentary of a Dentist And a Woman who must Battle a Mad Scientist in Ancient China",2006,1,NULL,3,2.99,179,20.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
759,"SALUTE APOLLO","A Awe-Inspiring Character Study of a Boy And a Feminist who must Sink a Crocodile in Ancient China",2006,1,NULL,4,2.99,73,29.99,R,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
763,"SATISFACTION CONFIDENTIAL","A Lacklusture Yarn of a Dentist And a Butler who must Meet a Secret Agent in Ancient China",2006,1,NULL,3,4.99,75,26.99,G,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
803,"SLACKER LIAISONS","A Fast-Paced Tale of a A Shark And a Student who must Meet a Crocodile in Ancient China",2006,1,NULL,7,4.99,179,29.99,R,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
813,"SMOOCHY CONTROL","A Thrilling Documentary of a Husband And a Feminist who must Face a Mad Scientist in Ancient China",2006,1,NULL,7,0.99,184,18.99,R,"Behind the Scenes","2006-02-15 05:03:42"
820,"SONS INTERVIEW","A Taut Character Study of a Explorer And a Mad Cow who must Battle a Hunter in Ancient China",2006,1,NULL,3,2.99,184,11.99,NC-17,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
826,"SPEED SUIT","A Brilliant Display of a Frisbee And a Mad Scientist who must Succumb a Robot in Ancient China",2006,1,NULL,7,4.99,124,19.99,PG-13,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
847,"STOCK GLASS","A Boring Epistle of a Crocodile And a Lumberjack who must Outgun a Moose in Ancient China",2006,1,NULL,7,2.99,160,10.99,PG,Commentaries,"2006-02-15 05:03:42"
893,"TITANS JERK","A Unbelieveable Panorama of a Feminist And a Sumo Wrestler who must Challenge a Technical Writer in Ancient China",2006,1,NULL,4,4.99,91,11.99,PG,"Behind the Scenes","2006-02-15 05:03:42"
961,"WASH HEAVENLY","A Awe-Inspiring Reflection of a Cat And a Pioneer who must Escape a Hunter in Ancient China",2006,1,NULL,7,4.99,161,22.99,R,Commentaries,"2006-02-15 05:03:42"
962,"WASTELAND DIVINE","A Fanciful Story of a Database Administrator And a Womanizer who must Fight a Database Administrator in Ancient China",2006,1,NULL,7,2.99,85,18.99,PG,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
970,"WESTWARD SEABISCUIT","A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China",2006,1,NULL,7,0.99,52,11.99,NC-17,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
989,"WORKING MICROCOSMOS","A Stunning Epistle of a Dentist And a Dog who must Kill a Madman in Ancient China",2006,1,NULL,4,4.99,74,22.99,R,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
999,"ZOOLANDER FICTION","A Fateful Reflection of a Waitress And a Boat who must Discover a Sumo Wrestler in Ancient China",2006,1,NULL,5,2.99,101,28.99,R,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
