film_id,title,rating,público-alvo
188,"CRAZY HOME",PG,"Não recomendado para menores de 10 anos"
189,"CREATURES SHAKESPEARE",NC-17,"Proibido para menores de idade"
190,"CREEPERS KANE",NC-17,"Proibido para menores de idade"
191,"CROOKED FROGMEN",PG-13,"Não recomendado para menores de 13 anos"
192,"CROSSING DIVORCE",R,"Não recomendado para menores de 17 anos"
193,"CROSSROADS CASUALTIES",G,"Livre para todos"
194,"CROW GREASE",PG,"Não recomendado para menores de 10 anos"
195,"CROWDS TELEMARK",R,"Não recomendado para menores de 17 anos"
196,"CRUELTY UNFORGIVEN",G,"Livre para todos"
197,"CRUSADE HONEY",R,"Não recomendado para menores de 17 anos"
198,"CRYSTAL BREAKING",NC-17,"Proibido para menores de idade"
199,"CUPBOARD SINNERS",R,"Não recomendado para menores de 17 anos"
200,"CURTAIN VIDEOTAPE",PG-13,"Não recomendado para menores de 13 anos"
201,"CYCLONE FAMILY",PG,"Não recomendado para menores de 10 anos"
202,"DADDY PITTSBURGH",G,"Livre para todos"
203,"DAISY MENAGERIE",G,"Livre para todos"
204,"DALMATIONS SWEDEN",PG,"Não recomendado para menores de 10 anos"
205,"DANCES NONE",NC-17,"Proibido para menores de idade"
206,"DANCING FEVER",G,"Livre para todos"
207,"DANGEROUS UPTOWN",PG,"Não recomendado para menores de 10 anos"
208,"DARES PLUTO",PG-13,"Não recomendado para menores de 13 anos"
209,"DARKNESS WAR",NC-17,"Proibido para menores de idade"
210,"DARKO DORADO",NC-17,"Proibido para menores de idade"
211,"DARLING BREAKING",PG-13,"Não recomendado para menores de 13 anos"
212,"DARN FORRESTER",G,"Livre para todos"
213,"DATE SPEED",R,"Não recomendado para menores de 17 anos"
214,"DAUGHTER MADIGAN",PG-13,"Não recomendado para menores de 13 anos"
215,"DAWN POND",PG,"Não recomendado para menores de 10 anos"
216,"DAY UNFAITHFUL",G,"Livre para todos"
217,"DAZED PUNK",G,"Livre para todos"
218,"DECEIVER BETRAYED",NC-17,"Proibido para menores de idade"
219,"DEEP CRUSADE",PG-13,"Não recomendado para menores de 13 anos"
220,"DEER VIRGINIAN",NC-17,"Proibido para menores de idade"
221,"DELIVERANCE MULHOLLAND",R,"Não recomendado para menores de 17 anos"
222,"DESERT POSEIDON",R,"Não recomendado para menores de 17 anos"
223,"DESIRE ALIEN",NC-17,"Proibido para menores de idade"
224,"DESPERATE TRAINSPOTTING",G,"Livre para todos"
225,"DESTINATION JERK",PG-13,"Não recomendado para menores de 13 anos"
226,"DESTINY SATURDAY",G,"Livre para todos"
227,"DETAILS PACKER",R,"Não recomendado para menores de 17 anos"
228,"DETECTIVE VISION",PG-13,"Não recomendado para menores de 13 anos"
229,"DEVIL DESIRE",R,"Não recomendado para menores de 17 anos"
230,"DIARY PANIC",G,"Livre para todos"
231,"DINOSAUR SECRETARY",R,"Não recomendado para menores de 17 anos"
232,"DIRTY ACE",NC-17,"Proibido para menores de idade"
233,"DISCIPLE MOTHER",PG,"Não recomendado para menores de 10 anos"
234,"DISTURBING SCARFACE",R,"Não recomendado para menores de 17 anos"
235,"DIVIDE MONSTER",PG-13,"Não recomendado para menores de 13 anos"
236,"DIVINE RESURRECTION",R,"Não recomendado para menores de 17 anos"
237,"DIVORCE SHINING",G,"Livre para todos"
238,"DOCTOR GRAIL",G,"Livre para todos"
239,"DOGMA FAMILY",G,"Livre para todos"
240,"DOLLS RAGE",PG-13,"Não recomendado para menores de 13 anos"
241,"DONNIE ALLEY",NC-17,"Proibido para menores de idade"
242,"DOOM DANCING",R,"Não recomendado para menores de 17 anos"
243,"DOORS PRESIDENT",NC-17,"Proibido para menores de idade"
244,"DORADO NOTTING",NC-17,"Proibido para menores de idade"
245,"DOUBLE WRATH",R,"Não recomendado para menores de 17 anos"
246,"DOUBTFIRE LABYRINTH",R,"Não recomendado para menores de 17 anos"
247,"DOWNHILL ENOUGH",G,"Livre para todos"
248,"DOZEN LION",NC-17,"Proibido para menores de idade"
249,"DRACULA CRYSTAL",G,"Livre para todos"
250,"DRAGON SQUAD",NC-17,"Proibido para menores de idade"
251,"DRAGONFLY STRANGERS",NC-17,"Proibido para menores de idade"
252,"DREAM PICKUP",PG,"Não recomendado para menores de 10 anos"
253,"DRIFTER COMMANDMENTS",PG-13,"Não recomendado para menores de 13 anos"
254,"DRIVER ANNIE",PG-13,"Não recomendado para menores de 13 anos"
255,"DRIVING POLISH",NC-17,"Proibido para menores de idade"
256,"DROP WATERFRONT",R,"Não recomendado para menores de 17 anos"
257,"DRUMLINE CYCLONE",G,"Livre para todos"
258,"DRUMS DYNAMITE",PG,"Não recomendado para menores de 10 anos"
259,"DUCK RACER",NC-17,"Proibido para menores de idade"
260,"DUDE BLINDNESS",G,"Livre para todos"
261,"DUFFEL APOCALYPSE",G,"Livre para todos"
262,"DUMBO LUST",NC-17,"Proibido para menores de idade"
263,"DURHAM PANKY",R,"Não recomendado para menores de 17 anos"
264,"DWARFS ALTER",G,"Livre para todos"
265,"DYING MAKER",PG,"Não recomendado para menores de 10 anos"
266,"DYNAMITE TARZAN",PG-13,"Não recomendado para menores de 13 anos"
267,"EAGLES PANKY",NC-17,"Proibido para menores de idade"
268,"EARLY HOME",NC-17,"Proibido para menores de idade"
269,"EARRING INSTINCT",R,"Não recomendado para menores de 17 anos"
270,"EARTH VISION",NC-17,"Proibido para menores de idade"
271,"EASY GLADIATOR",G,"Livre para todos"
272,"EDGE KISSING",NC-17,"Proibido para menores de idade"
273,"EFFECT GLADIATOR",PG,"Não recomendado para menores de 10 anos"
274,"EGG IGBY",PG,"Não recomendado para menores de 10 anos"
275,"EGYPT TENENBAUMS",PG,"Não recomendado para menores de 10 anos"
276,"ELEMENT FREDDY",NC-17,"Proibido para menores de idade"
277,"ELEPHANT TROJAN",PG-13,"Não recomendado para menores de 13 anos"
278,"ELF MURDER",NC-17,"Proibido para menores de idade"
279,"ELIZABETH SHANE",NC-17,"Proibido para menores de idade"
280,"EMPIRE MALKOVICH",G,"Livre para todos"
281,"ENCINO ELF",G,"Livre para todos"
282,"ENCOUNTERS CURTAIN",NC-17,"Proibido para menores de idade"
283,"ENDING CROWDS",NC-17,"Proibido para menores de idade"
284,"ENEMY ODDS",NC-17,"Proibido para menores de idade"
285,"ENGLISH BULWORTH",PG-13,"Não recomendado para menores de 13 anos"
286,"ENOUGH RAGING",NC-17,"Proibido para menores de idade"
287,"ENTRAPMENT SATISFACTION",R,"Não recomendado para menores de 17 anos"
288,"ESCAPE METROPOLIS",R,"Não recomendado para menores de 17 anos"
289,"EVE RESURRECTION",G,"Livre para todos"
290,"EVERYONE CRAFT",PG,"Não recomendado para menores de 10 anos"
291,"EVOLUTION ALTER",PG-13,"Não recomendado para menores de 13 anos"
292,"EXCITEMENT EVE",G,"Livre para todos"
293,"EXORCIST STING",G,"Livre para todos"
294,"EXPECATIONS NATURAL",PG-13,"Não recomendado para menores de 13 anos"
295,"EXPENDABLE STALLION",PG,"Não recomendado para menores de 10 anos"
296,"EXPRESS LONELY",R,"Não recomendado para menores de 17 anos"
297,"EXTRAORDINARY CONQUERER",G,"Livre para todos"
298,"EYES DRIVING",PG-13,"Não recomendado para menores de 13 anos"
299,"FACTORY DRAGON",PG-13,"Não recomendado para menores de 13 anos"
300,"FALCON VOLUME",PG-13,"Não recomendado para menores de 13 anos"
301,"FAMILY SWEET",R,"Não recomendado para menores de 17 anos"
302,"FANTASIA PARK",G,"Livre para todos"
303,"FANTASY TROOPERS",PG-13,"Não recomendado para menores de 13 anos"
304,"FARGO GANDHI",G,"Livre para todos"
305,"FATAL HAUNTED",PG,"Não recomendado para menores de 10 anos"
306,"FEATHERS METAL",PG-13,"Não recomendado para menores de 13 anos"
307,"FELLOWSHIP AUTUMN",NC-17,"Proibido para menores de idade"
308,"FERRIS MOTHER",PG,"Não recomendado para menores de 10 anos"
309,"FEUD FROGMEN",R,"Não recomendado para menores de 17 anos"
310,"FEVER EMPIRE",R,"Não recomendado para menores de 17 anos"
311,"FICTION CHRISTMAS",PG,"Não recomendado para menores de 10 anos"
312,"FIDDLER LOST",R,"Não recomendado para menores de 17 anos"
313,"FIDELITY DEVIL",G,"Livre para todos"
314,"FIGHT JAWBREAKER",R,"Não recomendado para menores de 17 anos"
315,"FINDING ANACONDA",R,"Não recomendado para menores de 17 anos"
316,"FIRE WOLVES",R,"Não recomendado para menores de 17 anos"
317,"FIREBALL PHILADELPHIA",PG,"Não recomendado para menores de 10 anos"
318,"FIREHOUSE VIETNAM",G,"Livre para todos"
319,"FISH OPUS",R,"Não recomendado para menores de 17 anos"
320,"FLAMINGOS CONNECTICUT",PG-13,"Não recomendado para menores de 13 anos"
321,"FLASH WARS",NC-17,"Proibido para menores de idade"
322,"FLATLINERS KILLER",G,"Livre para todos"
323,"FLIGHT LIES",R,"Não recomendado para menores de 17 anos"
324,"FLINTSTONES HAPPINESS",PG-13,"Não recomendado para menores de 13 anos"
325,"FLOATS GARDEN",PG-13,"Não recomendado para menores de 13 anos"
326,"FLYING HOOK",NC-17,"Proibido para menores de idade"
327,"FOOL MOCKINGBIRD",PG,"Não recomendado para menores de 10 anos"
328,"FOREVER CANDIDATE",NC-17,"Proibido para menores de idade"
329,"FORREST SONS",R,"Não recomendado para menores de 17 anos"
330,"FORRESTER COMANCHEROS",NC-17,"Proibido para menores de idade"
331,"FORWARD TEMPLE",NC-17,"Proibido para menores de idade"
332,"FRANKENSTEIN STRANGER",NC-17,"Proibido para menores de idade"
333,"FREAKY POCUS",R,"Não recomendado para menores de 17 anos"
334,"FREDDY STORM",NC-17,"Proibido para menores de idade"
335,"FREEDOM CLEOPATRA",PG-13,"Não recomendado para menores de 13 anos"
336,"FRENCH HOLIDAY",PG,"Não recomendado para menores de 10 anos"
337,"FRIDA SLIPPER",R,"Não recomendado para menores de 17 anos"
338,"FRISCO FORREST",PG,"Não recomendado para menores de 10 anos"
339,"FROGMEN BREAKING",R,"Não recomendado para menores de 17 anos"
340,"FRONTIER CABIN",PG-13,"Não recomendado para menores de 13 anos"
341,"FROST HEAD",PG,"Não recomendado para menores de 10 anos"
342,"FUGITIVE MAGUIRE",R,"Não recomendado para menores de 17 anos"
343,"FULL FLATLINERS",PG,"Não recomendado para menores de 10 anos"
344,"FURY MURDER",PG-13,"Não recomendado para menores de 13 anos"
345,"GABLES METROPOLIS",PG,"Não recomendado para menores de 10 anos"
346,"GALAXY SWEETHEARTS",R,"Não recomendado para menores de 17 anos"
347,"GAMES BOWFINGER",PG-13,"Não recomendado para menores de 13 anos"
348,"GANDHI KWAI",PG-13,"Não recomendado para menores de 13 anos"
349,"GANGS PRIDE",PG-13,"Não recomendado para menores de 13 anos"
350,"GARDEN ISLAND",G,"Livre para todos"
351,"GASLIGHT CRUSADE",PG,"Não recomendado para menores de 10 anos"
352,"GATHERING CALENDAR",PG-13,"Não recomendado para menores de 13 anos"
353,"GENTLEMEN STAGE",NC-17,"Proibido para menores de idade"
354,"GHOST GROUNDHOG",G,"Livre para todos"
355,"GHOSTBUSTERS ELF",R,"Não recomendado para menores de 17 anos"
356,"GIANT TROOPERS",R,"Não recomendado para menores de 17 anos"
357,"GILBERT PELICAN",G,"Livre para todos"
358,"GILMORE BOILED",R,"Não recomendado para menores de 17 anos"
359,"GLADIATOR WESTWARD",PG,"Não recomendado para menores de 10 anos"
360,"GLASS DYING",G,"Livre para todos"
361,"GLEAMING JAWBREAKER",NC-17,"Proibido para menores de idade"
362,"GLORY TRACY",PG-13,"Não recomendado para menores de 13 anos"
363,"GO PURPLE",R,"Não recomendado para menores de 17 anos"
364,"GODFATHER DIARY",NC-17,"Proibido para menores de idade"
365,"GOLD RIVER",R,"Não recomendado para menores de 17 anos"
366,"GOLDFINGER SENSIBILITY",G,"Livre para todos"
367,"GOLDMINE TYCOON",R,"Não recomendado para menores de 17 anos"
368,"GONE TROUBLE",R,"Não recomendado para menores de 17 anos"
369,"GOODFELLAS SALUTE",PG,"Não recomendado para menores de 10 anos"
370,"GORGEOUS BINGO",R,"Não recomendado para menores de 17 anos"
371,"GOSFORD DONNIE",G,"Livre para todos"
372,"GRACELAND DYNAMITE",R,"Não recomendado para menores de 17 anos"
373,"GRADUATE LORD",G,"Livre para todos"
374,"GRAFFITI LOVE",PG,"Não recomendado para menores de 10 anos"
375,"GRAIL FRANKENSTEIN",NC-17,"Proibido para menores de idade"
376,"GRAPES FURY",G,"Livre para todos"
377,"GREASE YOUTH",G,"Livre para todos"
378,"GREATEST NORTH",NC-17,"Proibido para menores de idade"
379,"GREEDY ROOTS",R,"Não recomendado para menores de 17 anos"
380,"GREEK EVERYONE",PG,"Não recomendado para menores de 10 anos"
381,"GRINCH MASSAGE",R,"Não recomendado para menores de 17 anos"
382,"GRIT CLOCKWORK",PG,"Não recomendado para menores de 10 anos"
383,"GROOVE FICTION",NC-17,"Proibido para menores de idade"
384,"GROSSE WONDERFUL",R,"Não recomendado para menores de 17 anos"
385,"GROUNDHOG UNCUT",PG-13,"Não recomendado para menores de 13 anos"
386,"GUMP DATE",NC-17,"Proibido para menores de idade"
387,"GUN BONNIE",G,"Livre para todos"
388,"GUNFIGHT MOON",NC-17,"Proibido para menores de idade"
389,"GUNFIGHTER MUSSOLINI",PG-13,"Não recomendado para menores de 13 anos"
390,"GUYS FALCON",R,"Não recomendado para menores de 17 anos"
391,"HALF OUTFIELD",PG-13,"Não recomendado para menores de 13 anos"
392,"HALL CASSIDY",NC-17,"Proibido para menores de idade"
393,"HALLOWEEN NUTS",PG-13,"Não recomendado para menores de 13 anos"
394,"HAMLET WISDOM",R,"Não recomendado para menores de 17 anos"
395,"HANDICAP BOONDOCK",R,"Não recomendado para menores de 17 anos"
396,"HANGING DEEP",G,"Livre para todos"
397,"HANKY OCTOBER",NC-17,"Proibido para menores de idade"
398,"HANOVER GALAXY",NC-17,"Proibido para menores de idade"
399,"HAPPINESS UNITED",G,"Livre para todos"
400,"HARDLY ROBBERS",R,"Não recomendado para menores de 17 anos"
401,"HAROLD FRENCH",NC-17,"Proibido para menores de idade"
402,"HARPER DYING",G,"Livre para todos"
403,"HARRY IDAHO",PG-13,"Não recomendado para menores de 13 anos"
404,"HATE HANDICAP",PG,"Não recomendado para menores de 10 anos"
405,"HAUNTED ANTITRUST",NC-17,"Proibido para menores de idade"
406,"HAUNTING PIANIST",R,"Não recomendado para menores de 17 anos"
407,"HAWK CHILL",PG-13,"Não recomendado para menores de 13 anos"
408,"HEAD STRANGER",R,"Não recomendado para menores de 17 anos"
409,"HEARTBREAKERS BRIGHT",G,"Livre para todos"
410,"HEAVEN FREEDOM",PG,"Não recomendado para menores de 10 anos"
411,"HEAVENLY GUN",NC-17,"Proibido para menores de idade"
412,"HEAVYWEIGHTS BEAST",G,"Livre para todos"
413,"HEDWIG ALTER",NC-17,"Proibido para menores de idade"
414,"HELLFIGHTERS SIERRA",PG,"Não recomendado para menores de 10 anos"
415,"HIGH ENCINO",R,"Não recomendado para menores de 17 anos"
416,"HIGHBALL POTTER",R,"Não recomendado para menores de 17 anos"
417,"HILLS NEIGHBORS",G,"Livre para todos"
418,"HOBBIT ALIEN",PG-13,"Não recomendado para menores de 13 anos"
419,"HOCUS FRIDA",G,"Livre para todos"
420,"HOLES BRANNIGAN",PG,"Não recomendado para menores de 10 anos"
